Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Acropolis","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F2837.jpg%3F2","NL","9 cm","rgb(255, 255, 255)","1.16","x 20"
"Anthurium Acura","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F29112.jpg%3F4","NL","13 cm","rgb(255, 192, 203)","1.23","x 12"
"Anthurium Acura","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F29112.jpg%3F4","NL","11 cm","rgb(255, 192, 203)","0.96","x 16"
"Anthurium Alero","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FS_dfcbfa41-33df-4cbd-ba3b-b0ffd5eac210.jpg","NL","11 cm","rgb(255, 192, 203)","0.75","x 16"
"Anthurium Alero","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FS_dfcbfa41-33df-4cbd-ba3b-b0ffd5eac210.jpg","NL","9 cm","rgb(255, 192, 203)","0.66","x 20"
"Anthurium Amigo Improved","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FS_b9abd41a-7b8e-46da-82f6-03002b21dc5e.jpg","NL","11 cm","rgb(208, 2, 27)","0.79","x 16"
"Anthurium Avo Summer","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F106121.jpg%3F3","NL","13 cm","rgb(245, 166, 35)","1.21","x 12"
"Anthurium Avo Summer","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F106121.jpg%3F3","NL","15 cm","rgb(245, 166, 35)","1.34","x 10"
"Anthurium Avo Summer","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F106121.jpg%3F3","NL","11 cm","rgb(245, 166, 35)","1.18","x 16"
"Anthurium Bellanca","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F107792.jpg%3F3","NL","13 cm","rgb(189, 16, 224)","1.37","x 12"
"Anthurium Bellanca","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F107792.jpg%3F3","NL","11 cm","rgb(189, 16, 224)","1.18","x 16"
"Anthurium Caldonia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_764e81c0-933b-485b-9e28-6ad42e5c789d.jpg","NL","11 cm","rgb(208, 2, 27)","1.10","x 16"
"Anthurium Calisto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F18540.jpg%3F3","NL","18 cm","rgb(208, 2, 27)","1.21","x 8"
"Anthurium Calisto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_108e7eca-c457-48d5-a793-2a795d7d7a72.jpg","NL","11 cm","rgb(208, 2, 27)","1.34","x 16"
"Anthurium Calisto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F18540.jpg%3F3","NL","15 cm","rgb(208, 2, 27)","1.33","x 10"
"Anthurium Calisto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F18540.jpg%3F3","NL","13 cm","rgb(208, 2, 27)","1.36","x 12"
"Anthurium Calisto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F18540.jpg%3F3","NL","13 cm","rgb(208, 2, 27)","1.37","x 12"
"Anthurium Candy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F111512.jpg%3F3","NL","11 cm","rgb(255, 192, 203)","1.28","x 16"
"Anthurium Candy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F111512.jpg%3F3","NL","15 cm","rgb(255, 192, 203)","1.33","x 10"
"Anthurium Candy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F111512.jpg%3F3","NL","13 cm","rgb(255, 192, 203)","1.31","x 12"
"Anthurium Caribo","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_98b7ac47-f15b-46fe-b075-3a9f909ba486.jpg","NL","11 cm","rgb(222, 49, 99)","0.89","x 16"
"Anthurium Caribo","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_c8fc44fb-e079-4080-baaa-b91e7fcfc3ac.jpg","NL","13 cm","rgb(222, 49, 99)","1.06","x 12"
"Anthurium Caribo","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_c8fc44fb-e079-4080-baaa-b91e7fcfc3ac.jpg","NL","15 cm","rgb(222, 49, 99)","1.15","x 10"
"Anthurium Cerato","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_d30f7d73-612b-40d3-bb89-ec4cdd2f35f8.jpg","NL","13 cm","rgb(222, 49, 99)","0.95","x 12"
"Anthurium Cheers","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F13023.jpg%3F2","NL","15 cm","rgb(255, 192, 203)","2.28","x 10"
